tanggal,tahun,bulan,bulan_nama,program_studi,jumlah_pendaftar,frekuensi,kategori_data,catatan
2016-01-01,2016,1,Januari,Teknik Informatika,11,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-02-01,2016,2,Februari,Teknik Informatika,15,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-03-01,2016,3,Maret,Teknik Informatika,18,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-04-01,2016,4,April,Teknik Informatika,22,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-05-01,2016,5,Mei,Teknik Informatika,37,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-06-01,2016,6,Juni,Teknik Informatika,59,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-07-01,2016,7,Juli,Teknik Informatika,87,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-08-01,2016,8,Agustus,Teknik Informatika,73,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-09-01,2016,9,September,Teknik Informatika,29,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-10-01,2016,10,Oktober,Teknik Informatika,7,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-11-01,2016,11,November,Teknik Informatika,4,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-12-01,2016,12,Desember,Teknik Informatika,4,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-01-01,2016,1,Januari,Sistem Informasi,10,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-02-01,2016,2,Februari,Sistem Informasi,13,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-03-01,2016,3,Maret,Sistem Informasi,16,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-04-01,2016,4,April,Sistem Informasi,19,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-05-01,2016,5,Mei,Sistem Informasi,32,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-06-01,2016,6,Juni,Sistem Informasi,51,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-07-01,2016,7,Juli,Sistem Informasi,76,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-08-01,2016,8,Agustus,Sistem Informasi,64,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-09-01,2016,9,September,Sistem Informasi,26,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-10-01,2016,10,Oktober,Sistem Informasi,6,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-11-01,2016,11,November,Sistem Informasi,3,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-12-01,2016,12,Desember,Sistem Informasi,3,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-01-01,2016,1,Januari,Manajemen,14,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-02-01,2016,2,Februari,Manajemen,19,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-03-01,2016,3,Maret,Manajemen,24,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-04-01,2016,4,April,Manajemen,29,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-05-01,2016,5,Mei,Manajemen,48,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-06-01,2016,6,Juni,Manajemen,76,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-07-01,2016,7,Juli,Manajemen,114,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-08-01,2016,8,Agustus,Manajemen,95,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-09-01,2016,9,September,Manajemen,38,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-10-01,2016,10,Oktober,Manajemen,10,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-11-01,2016,11,November,Manajemen,5,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-12-01,2016,12,Desember,Manajemen,5,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-01-01,2016,1,Januari,Akuntansi,10,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-02-01,2016,2,Februari,Akuntansi,13,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-03-01,2016,3,Maret,Akuntansi,16,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-04-01,2016,4,April,Akuntansi,19,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-05-01,2016,5,Mei,Akuntansi,32,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-06-01,2016,6,Juni,Akuntansi,52,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-07-01,2016,7,Juli,Akuntansi,78,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-08-01,2016,8,Agustus,Akuntansi,64,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-09-01,2016,9,September,Akuntansi,26,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-10-01,2016,10,Oktober,Akuntansi,6,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-11-01,2016,11,November,Akuntansi,3,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-12-01,2016,12,Desember,Akuntansi,3,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-01-01,2016,1,Januari,Teknik Industri,8,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-02-01,2016,2,Februari,Teknik Industri,11,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-03-01,2016,3,Maret,Teknik Industri,14,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-04-01,2016,4,April,Teknik Industri,16,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-05-01,2016,5,Mei,Teknik Industri,27,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-06-01,2016,6,Juni,Teknik Industri,44,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-07-01,2016,7,Juli,Teknik Industri,66,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-08-01,2016,8,Agustus,Teknik Industri,55,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-09-01,2016,9,September,Teknik Industri,22,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-10-01,2016,10,Oktober,Teknik Industri,5,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-11-01,2016,11,November,Teknik Industri,3,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2016-12-01,2016,12,Desember,Teknik Industri,3,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2017-01-01,2017,1,Januari,Teknik Informatika,12,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2017-02-01,2017,2,Februari,Teknik Informatika,16,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2017-03-01,2017,3,Maret,Teknik Informatika,21,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2017-04-01,2017,4,April,Teknik Informatika,25,Bulanan,Optimal kuat,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
